Topic 0
位置 : 0.017770
显示 : 0.015580
地图 : 0.013381
好 : 0.004530
人 : 0.003815
前 : 0.003603
爱 : 0.003474
道 : 0.003294
转发 : 0.003238
天 : 0.003111
Topic 1
人 : 0.007716
岁 : 0.005679
中国 : 0.004714
位 : 0.004151
美国 : 0.003624
两 : 0.003574
只 : 0.003537
死 : 0.002949
消息 : 0.002800
名 : 0.002766
Topic 2
人 : 0.008363
吐 : 0.005569
槽 : 0.005012
好 : 0.004894
想 : 0.003846
两 : 0.003369
已 : 0.003128
只 : 0.003121
中国 : 0.002538
美 : 0.002532
Topic 3
车 : 0.010420
岁 : 0.008570
辆 : 0.008267
人 : 0.007704
司机 : 0.006903
路 : 0.005282
车辆 : 0.005213
发现 : 0.004760
名 : 0.004652
查 : 0.004592
Topic 4
高 : 0.005897
中国 : 0.005841
人 : 0.005802
2015 : 0.005181
大学 : 0.004822
戳 : 0.004020
版 : 0.003611
位 : 0.003548
时间 : 0.003293
高考 : 0.003166
Topic 5
人 : 0.008584
发现 : 0.004540
中国 : 0.004535
发生 : 0.004322
元 : 0.004156
好 : 0.003751
美国 : 0.003694
正 : 0.003636
点 : 0.003469
称 : 0.003404
Topic 6
人 : 0.010756
东方 : 0.008018
星 : 0.007859
沉船 : 0.007192
事故 : 0.006989
已 : 0.006436
长江 : 0.006300
救援 : 0.006135
人员 : 0.005921
现场 : 0.005554
Topic 7
中国 : 0.008756
人 : 0.006792
新 : 0.006352
亿 : 0.005029
投资 : 0.003838
公司 : 0.003743
产品 : 0.003705
最 : 0.003680
电 : 0.003627
安全 : 0.003075
Topic 8
转发 : 0.010363
人 : 0.010182
岁 : 0.006475
爱 : 0.005963
今天 : 0.005928
最 : 0.005440
一起 : 0.005331
心 : 0.005022
快乐 : 0.004776
条 : 0.004605
Topic 9
人 : 0.004949
牺牲 : 0.004520
警察 : 0.004446
称 : 0.004226
警方 : 0.004171
发生 : 0.004054
举报 : 0.003839
县 : 0.003750
已 : 0.003747
记者 : 0.003596
Topic 10
名 : 0.014312
死亡 : 0.013664
孩子 : 0.012346
儿童 : 0.012083
岁 : 0.010146
抢救 : 0.009055
人 : 0.008658
13 : 0.008577
贵州 : 0.008324
晚 : 0.007933
Topic 11
人 : 0.005333
好 : 0.004699
收藏 : 0.004002
最 : 0.003918
种 : 0.003878
生活 : 0.003807
戳 : 0.003748
知道 : 0.003398
转发 : 0.003321
想 : 0.003173
Topic 12
微博 : 0.019165
转发 : 0.013257
获得 : 0.008995
机会 : 0.008493
送 : 0.007807
关注 : 0.006755
评论 : 0.006403
活动 : 0.006356
集 : 0.005032
一起 : 0.004948
Topic 13
人 : 0.005319
太 : 0.005056
元 : 0.004854
名 : 0.004440
称 : 0.004232
大学生 : 0.003506
15 : 0.003216
天 : 0.003212
无 : 0.003103
小 : 0.003087
Topic 14
人 : 0.010067
句 : 0.008009
心 : 0.007615
话 : 0.006644
最 : 0.005583
回家 : 0.005221
看到 : 0.005002
帮 : 0.004934
请 : 0.004862
爱 : 0.004578
Topic 15
人 : 0.007405
表示 : 0.005665
北京 : 0.003985
元 : 0.003903
名 : 0.003873
称 : 0.003862
岁 : 0.003746
全 : 0.003669
次 : 0.003405
中国 : 0.003086
Topic 16
吃 : 0.007510
人 : 0.007230
好 : 0.004761
只 : 0.004577
饭 : 0.003731
做 : 0.003715
唱 : 0.003654
讲 : 0.003480
今天 : 0.003410
小 : 0.003344
Topic 17
中国 : 0.008237
人 : 0.005834
国家 : 0.004201
民主 : 0.004184
昂山 : 0.004070
李 : 0.003911
发展 : 0.003695
认为 : 0.003083
谈 : 0.003010
张 : 0.002951
Topic 18
人 : 0.007785
中国 : 0.005234
名 : 0.004566
推荐 : 0.004137
老师 : 0.004131
请 : 0.003891
工作 : 0.003389
最 : 0.003220
好 : 0.003086
韩国 : 0.003038
Topic 19
人 : 0.005921
小 : 0.005535
李 : 0.005367
S : 0.004829
盗墓 : 0.004386
今天 : 0.004367
笔记 : 0.004276
易峰 : 0.004057
发布会 : 0.003769
太 : 0.003608
